id,years_worked,victime_race,count_arrests,officer_race,officer_rank,count_allegations
3096,40,White,2,Black,Police Officer,2
3096,40,,42,Black,Police Officer,42
3971,40,,4,White,Police Officer,4
4129,40,Black,2,White,Assistant Deputy Superintendent,2
4129,40,,1,White,Assistant Deputy Superintendent,1
4372,40,Black,1,Black,,1
4688,40,,1,White,Police Officer,1
5398,40,Black,2,White,Detective,2
5398,40,,1,White,Detective,1
5443,40,Hispanic,1,White,Detective,1
5443,40,,3,White,Detective,3
5955,40,,6,White,Police Officer,6
5966,40,Black,4,White,Commander,4
5966,40,,14,White,Commander,15
6106,40,Black,4,White,Police Officer,4
6106,40,,9,White,Police Officer,9
6641,40,,12,White,Police Officer,12
7301,40,Black,2,Black,Detective,2
7301,40,,26,Black,Detective,26
7753,40,,6,White,Police Officer,6
7877,40,White,2,White,Detective,2
7877,40,,4,White,Detective,4
8168,40,Black,2,Black,Police Officer,2
8486,40,,1,White,Sergeant,1
8634,40,,25,White,Detective,25
8873,40,Black,1,White,Police Officer,1
8970,40,Black,2,White,Police Officer,2
8970,40,,7,White,Police Officer,7
9139,40,,6,Black,Police Officer,6
9896,40,Black,4,White,Police Officer,4
9896,40,,26,White,Police Officer,26
10489,40,,2,White,Detective,2
10562,40,,6,White,Police Officer,6
10587,40,,4,White,Police Officer,4
11103,40,,2,Black,Police Officer,2
11586,40,,20,White,Captain,20
12359,40,Black,2,White,Detective,2
12359,40,,9,White,Detective,9
12458,40,Black,3,White,Police Officer,3
12458,40,,48,White,Police Officer,48
12538,40,Black,2,White,Police Officer,2
12538,40,White,2,White,Police Officer,2
12538,40,,24,White,Police Officer,24
13291,40,,3,White,Police Officer,3
13451,40,,14,White,Police Officer,14
13871,40,,16,White,Police Officer,16
14193,40,,30,White,Sergeant,30
14355,40,Black,2,White,Detective,2
14355,40,,13,White,Detective,13
14522,40,,2,White,Captain,2
14578,40,,2,White,Police Officer,2
14935,40,,4,White,Police Officer,4
14986,40,Black,2,White,Detective,2
14986,40,,4,White,Detective,4
15045,40,,2,White,Police Officer,2
15495,40,,6,White,Sergeant,6
15524,40,,3,White,Police Officer,3
15712,40,,4,White,Police Officer,4
16378,40,,2,White,Sergeant,2
16651,40,,2,Black,Sergeant,2
16727,40,White,2,White,Police Officer,2
16819,40,,5,White,Police Officer,5
16828,40,Black,2,White,Police Officer,2
16828,40,,14,White,Police Officer,14
16972,40,,2,White,Police Officer,2
17337,40,,2,White,Police Officer,2
17337,40,Black,4,White,Police Officer,5
17337,40,Hispanic,2,White,Police Officer,2
17337,40,White,4,White,Police Officer,4
17337,40,,5,White,Police Officer,5
17730,40,,3,White,Police Officer,3
17854,40,,15,White,Police Officer,15
18034,40,,7,White,Captain,7
18301,40,,3,White,Police Officer,3
19092,40,,13,White,Police Officer,13
19144,40,,2,White,Field Training Officer,2
19144,40,Black,7,White,Field Training Officer,7
19144,40,White,2,White,Field Training Officer,2
19144,40,,76,White,Field Training Officer,76
19326,40,Hispanic,2,White,Sergeant,2
19326,40,,6,White,Sergeant,6
19702,40,,1,White,Police Officer,1
19877,40,,4,White,Captain,4
20091,40,Black,4,White,Detective,4
20091,40,,3,White,Detective,3
